[00:13:35] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:13:36] [ServerMain/INFO]: Loaded 7 recipes
[00:13:36] [ServerMain/INFO]: Loaded 1271 advancements
[00:13:37] [Server thread/INFO]: Starting minecraft server version 1.20.1
[00:13:37] [Server thread/INFO]: Loading properties
[00:13:37] [Server thread/INFO]: Default game type: SURVIVAL
[00:13:37] [Server thread/INFO]: Generating keypair
[00:13:37] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:13:37] [Server thread/INFO]: Using epoll channel type
[00:13:37] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[00:13:37] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[00:13:37] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[00:13:37] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[00:13:37] [Server thread/INFO]: Preparing level "world"
[00:13:43] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[00:13:43] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[00:13:43] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[00:13:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:13:44] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[00:13:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[00:13:45] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[00:13:46] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[00:13:46] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[00:13:47] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[00:13:47] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[00:13:48] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[00:13:48] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[00:13:49] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[00:13:49] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[00:13:50] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[00:13:50] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[00:13:51] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[00:13:51] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[00:13:52] [Worker-Main-1/INFO]: Preparing spawn area: 16%
[00:13:52] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[00:13:53] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[00:13:53] [Worker-Main-1/INFO]: Preparing spawn area: 22%
[00:13:54] [Worker-Main-1/INFO]: Preparing spawn area: 24%
[00:13:54] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[00:13:55] [Worker-Main-1/INFO]: Preparing spawn area: 28%
[00:13:55] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[00:13:56] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[00:13:56] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[00:13:57] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[00:13:57] [Worker-Main-3/INFO]: Preparing spawn area: 38%
[00:13:58] [Worker-Main-1/INFO]: Preparing spawn area: 40%
[00:13:58] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[00:13:59] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[00:13:59] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[00:14:00] [Worker-Main-3/INFO]: Preparing spawn area: 48%
[00:14:00] [Worker-Main-3/INFO]: Preparing spawn area: 50%
[00:14:01] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[00:14:01] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[00:14:02] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[00:14:02] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[00:14:03] [Worker-Main-3/INFO]: Preparing spawn area: 61%
[00:14:03] [Worker-Main-1/INFO]: Preparing spawn area: 63%
[00:14:04] [Worker-Main-3/INFO]: Preparing spawn area: 66%
[00:14:04] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[00:14:05] [Worker-Main-1/INFO]: Preparing spawn area: 70%
[00:14:05] [Worker-Main-1/INFO]: Preparing spawn area: 73%
[00:14:06] [Worker-Main-2/INFO]: Preparing spawn area: 76%
[00:14:06] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[00:14:07] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[00:14:07] [Worker-Main-3/INFO]: Preparing spawn area: 85%
[00:14:08] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[00:14:08] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[00:14:09] [Worker-Main-3/INFO]: Preparing spawn area: 92%
[00:14:09] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[00:14:10] [Worker-Main-2/INFO]: Preparing spawn area: 99%
[00:14:10] [Server thread/INFO]: Time elapsed: 27048 ms
[00:14:10] [Server thread/INFO]: Done (32.815s)! For help, type "help"
